216059; Pain_carre_blanc_tranche_en_sac_plastique; tablette; farine blanche non blanchie, levain, sel de mer.
216064; Paninis_biologiques_paquet_de_4_en_sac_plastique; tablette; farine blanche non blanchie biologique, levain biologique (eau, farine intégrale), farine tamisée biologique, huile de tournesol biologique, sel de mer.
217028; Bifteak_dautruche; congelo; autruche
217030; Foie_dautruche; congelo; foie d'autruche
217033; Roti_Sot_ly_laisse; congelo; autruche
217035; Savon_liquide_pour_mains_et_corps; tablette; aqua,ostrich oil, cocos nucifera (coconut) oil, potassium hydroxyde, brassica napus (canola) oil, sodium hydroxyde, fragrance.
217039; Miel_de_fleurs_de_Trefles; tablette; miel
217054; Pain_belge_blanc_biologique_sac_papier; tablette; farine blanche non blanchie biologique, levain biologique, sel de mer. 
217055; Pain_de_ble_aux_graines_de_sesame_biologique_sac_papier; tablette; farine de blé intégral biologique, levain biologique(eau, farine intégrale), graines de sésame.sel de mer.
217059; Bagels_au_sesame_a_87_bio_paquet_de_6_en_sac_plastique; tablette; farine blanche non blanchie biologique, eau, levain biologique (eau, farine intégrale), miel, huile de tournesol biologique, farine de malt, oeufs.
218026; Jus_de_canneberges_sucre; congelo; un jus à base de canneberges, eau, sucre brun de canne et acide ascorbique
218040; Bifteak_Sot_ly_laisse; congelo; autruche
218042; Cubes_a_brochette_ou_a_fonduefilet_mignon; congelo; autruche
218046; Savon_huile_dautruche_et_lait_de_chevre_naturel; tablette;  huile d’autruche, huile de canola, lait de chèvre, huile d’olive, eau distillée, hydroxyde de sodium.
218049; Creme_hydratante_pour_mains_et_corps; tablette; aqua, ostrich oil, glycerin, cetyl alcohol, stearic acid, cetearyl alcohol, polysorbate 20, peg 150, steareth-20, xanthan gum, propylene glycol, diazolidinyl urea, iodopropynyl butylcarbamate, fragrance.
218051; Creme_de_protection_solaire; tablette; aqua, ostrich oil, octyl methoxycinnamate, glycerin, titanium oxyde, tocopheryl acetate, cetyl alcohol, stearic acid, cetearyl alcohol, polysorbate 20, peg-150, steareth-20, xanthan gum, ascorbic acid, allantoin, tetrasodium edta, propylene glycol, diazolidinyl urea, iodopropynyl butylcarbamate..
218062; Pain_de_ble_aux_graines_de_sesame_bio_tranche_sac_plast; tablette; farine de blé intégral biologique, levain biologique(eau, farine intégrale), graines de sésame.sel de mer.
